Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
79.4,13.52,99,80.4
79.6,46.8,1.674,-16.9
79.7,8.34,-57.6,-49
79.9,-52.4,-60.8,-4.16
80,-19.98,-46,6.8
80.2,61,-9,-11.64
80.3,52.8,45.2,3.08
80.5,-40,60.2,24
80.7,-86,6.66,-2.16
80.8,-40.6,-48,-38
81,1.424,-36.6,-16.42
81.1,10.46,11.62,40.6
81.3,62,43.8,59.4
81.4,123.4,55.4,23
81.6,74.4,32.6,-28.6
81.7,-65.4,-53.8,-64.8
81.9,-135.2,-130.2,-65.2
82,-75.2,-76.8,-17.04
82.2,1.256,75.8,53.6
82.3,26.8,176.8,99.2
82.5,45.4,114.6,68.2
82.6,51.6,-71.6,-37.8
82.8,-1.372,-181.2,-101.8
82.9,-28.2,-92.8,-49.6
83.1,36.2,47.8,11.94
83.2,42,64.6,-3.28
83.4,-58.8,-0.83,-15.8
83.5,-97.2,-6.02,39.4
83.7,-29.4,49,78.2
83.8,38.8,38.6,16.18
84,66.2,-36.4,-55.6
84.1,53,-65,-31.4
84.3,-5.84,-29.2,25.2
84.4,-38.6,29.8,35.4
84.6,6.98,83.2,13.76
84.7,25.4,94.8,-5.52
84.9,-42.4,66,4.06
85,-63,37.6,32
85.2,45.6,-13.58,23
85.3,136.8,-121.6,-28.8
85.5,29.6,-200,-74.6
85.6,-164,-177.4,-108
85.8,-132.6,-95.2,-125.4
85.9,104.6,9.1,-68.4
86.1,179,121.2,70.8
86.2,-28.6,196.8,196.8
86.4,-228,204,214
86.5,-175.2,114.8,95
86.7,41.8,-59.8,-96.8
86.8,204,-179,-197
87,204,-82.2,-87.6
87.1,91,116,97
87.3,-23.6,134.2,133.8
87.4,-102,-30.2,18.08
87.6,-136.4,-149.8,-88.6
87.8,-84.8,-121.4,-88.2
87.9,27.2,15.48,-7.58
88.1,75,137.4,52.6
88.2,6.7,100.4,30.8
88.4,-53.8,-80.4,-35.4
88.5,-5.1,-226,-82.4
88.7,65.6,-156.6,-52
88.8,58.8,81,41.6
89,13.08,179.8,58
89.1,-32.4,32.4,-41.6
89.3,-83.4,-82.8,-70.6
89.4,-81.6,29.8,79.6
89.6,-4.32,202,222
89.7,66,171,126.6
89.9,55.4,-42.6,-124
90,-0.594,-158.4,-216
90.2,8.5,-86.2,-64
90.3,65.6,-16.48,106.8
90.5,31,-52.6,106.4
90.6,-77.4,-98,-45
90.8,-93.8,-45,-159.6
90.9,13.2,88.2,-61.8
91.1,97.8,179,154
91.2,77.4,132.6,210
91.4,-6.02,-37,9.02
91.5,-114,-177.4,-220
91.7,-160.2,-122,-186
91.8,-48.2,32,28.8
92,98.2,67,134.4
92.1,113.6,20.8,99.6
92.3,75.8,38.6,65.2
92.4,53.2,87.4,35.8
92.6,-32.4,52.2,-56.2
92.7,-123.2,-111.2,-178.4
92.9,-100,-256,-191.4
93,3.22,-142.4,-15.06
93.2,112,163.6,214
93.3,129,320,268
93.5,-15.5,182.4,82.2
93.6,-169.8,-73.8,-147.8
93.8,-117,-202,-168.8
93.9,94.8,-136.6,-10.48
94.1,212,-0.222,66.4
94.2,117.6,64,-17.3
94.4,-75.8,13.32,-77.6
