Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
74,10.3,-27.7,16.2
74.2,39.5,-159,71
74.3,31.8,-102,-0.784
74.5,14.6,60.3,-51.3
74.6,-21.2,127,11.8
74.8,-60.5,-1.76,97.4
74.9,-47.7,-111,65.1
75.1,13.8,4.42,-74.1
75.2,42.6,122,-148
75.4,28.5,3.48,-49.4
75.5,46.3,-153,105
75.7,55.7,-77.1,129
75.8,-42.9,107,33.7
76,-139,144,-66.8
76.1,-56.7,59.2,-103
76.3,94.3,-38.9,-34.1
76.4,104,-114,54.9
76.6,22.6,-84.5,39.4
76.7,-30.2,22.5,-19.1
76.9,-57.3,41.6,-8.26
77,-58.1,-7.68,36.5
77.2,-28.4,12.4,40.1
77.3,4.74,33.8,7.34
77.5,42.4,-17.5,-45.8
77.6,67.1,-43.3,-84.7
77.8,37.6,-18.2,-34
77.9,-14.3,5.93,68.5
78.1,-0.641,35.1,98.2
78.2,30.8,58.7,26.8
78.4,-26.6,42,-70.7
78.5,-89.3,-15.6,-88.9
78.7,-63.9,-60.7,-21
78.8,-15.9,-26.4,32.8
79,32.3,25.3,41.9
79.1,97.9,32.6,9.71
79.3,89.8,68.6,-52.1
79.4,-27.3,38.7,-13.3
79.6,-96,-203,142
79.7,-26.9,-372,185
79.9,52,-103,-2.7
80,25.3,353,-238
80.2,-67.5,440,-246
80.3,-116,115,6.68
80.5,-26.6,-146,199
80.7,136,-53.8,72.5
80.8,177,137,-150
81,69.6,30.6,-121
81.1,-50.2,-319,136
81.3,-102,-446,300
81.4,-48.6,-145,132
81.6,38,191,-181
81.7,-14.2,235,-255
81.9,-154,147,-79.4
82,-127,110,66.8
82.2,88.6,99,52.2
82.3,191,45.1,-15.6
82.5,39.5,-84.4,49.7
82.6,-92,-190,167
82.8,-6.09,-132,63.2
82.9,93.7,37.9,-160
83.1,24.5,158,-180
83.2,-81.4,124,-39.7
83.4,-50.7,-64.1,47.1
83.5,56.9,-206,50.3
83.7,88.5,-67.3,13.6
83.8,41.5,165,33.7
