Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
108,-135.2,31.2,220
108,-210,-77,-3.92
109,-59.6,-87.4,-266
109,143.6,3.6,-276
109,139,52.2,-73.2
109,-17.68,85.2,191.6
109,-58.6,124.4,334
109,86,-0.344,133.6
109,184.2,-228,-222
110,68.4,-186,-274
110,-122.8,139,-1.706
110,-202,308,214
110,-178.8,89.8,135.2
110,-125.8,-274,-131
110,-8.7,-364,-248
111,177,0.544,1.168
111,276,424,342
111,145,314,292
111,-117,-174.2,-119.8
111,-220,-310,-384
111,-77.8,-27.4,-256
111,69.2,85,6.66
112,80.8,-57.4,146.4
112,80.4,-28.8,187
112,126.8,187.6,184.2
112,102.8,242,134.2
112,-104.6,21.6,-5.94
112,-280,-296,-260
113,-109.6,-358,-338
113,148,12.7,38
113,71.4,364,380
113,-153.6,187.4,100.8
113,-160.8,-218,-354
113,23.6,-250,-260
113,161.6,56.6,175.8
114,121.6,218,356
114,-1.524,116,172.8
114,-31.2,-13.66,-152.2
114,52.2,-87,-354
114,157.2,-119.8,-190
114,179,-32,224
114,45.8,144.2,422
115,-189,155.6,162
115,-342,-41.2,-214
115,-228,-102.4,-244
115,31.4,22.2,-50.4
115,87.2,-33.4,-20.2
115,-13.42,-232,-88.8
116,41.8,-212,-46.2
116,256,36.6,34
116,318,268,108
116,9.66,274,180.4
116,-374,25.6,122.6
116,-370,-193.8,-62.8
116,-59.6,-130.4,-170.8
117,187.2,116.2,-66.6
117,286,234,109.2
117,308,63.2,75.4
117,142,-153.8,-128.2
117,-244,-139.2,-142.2
117,-480,-18.26,104.6
118,-224,-6.18,240
118,256,-14.08,62.4
118,350,18.12,-156.8
118,-22.2,-105,-199.4
118,-256,-272,-140.4
118,-2.64,-84.8,-7.14
118,264,338,198.4
119,30.6,486,318
119,-360,192.2,144.2
119,-220,-183,-232
119,260,-264,-398
119,294,-141,-174
119,-68.8,-95,130
119,-99.2,-101.4,220
120,198.6,40.6,185.2
120,164.2,244,158.2
120,-270,196.2,73
120,-414,-64,-94.4
120,7.98,-199,-260
120,360,-115.8,-314
121,216,13.62,-124
121,-96.8,75.6,234
121,-242,49.8,362
121,-129,-36.4,65.2
121,122.4,-16.78,-187.6
121,136.4,140.4,-35
121,-87.6,106.6,68.4
122,-112.8,-168,-171.4
122,70.6,-210,-216
122,162.2,155.2,230
122,98.8,454,556
122,-43.8,177.8,149.2
122,-86.6,-476,-596
122,49.8,-684,-684
123,90.6,-126.8,26
123,-112.8,494,622
123,-230,546,540
123,-67.4,138,44
123,120.4,-374,-482
123,135.2,-570,-618
124,11.42,-124.8,-107.6
124,-79,518,514
124,6.72,522,490
124,42,-48.4,-20.8
124,-148,-364,-294
124,-202,-134.2,-111.2
124,104,148.4,117.8
125,368,81.4,55.8
125,240,-134,-114.6
125,-84.2,-145.6,-72.2
125,-220,9.4,80
125,-23.8,59,16.44
125,187.8,-44,-192.6
126,15.86,-37.2,-144.4
126,-282,142.6,176.4
126,-210,171,324
126,53.2,-13.62,113.4
126,88.6,-84.4,-154
126,-62.2,39,-182
126,-160,121.6,-6.12
127,-70.4,-22.4,93.2
127,200,-332,-39.6
127,436,-424,-180.4
127,322,-2.94,-75.2
127,-123.2,506,88.8
127,-394,452,92.2
127,-204,-3.16,132.4
128,107.4,-240,236
128,132.8,-161.4,82.4
128,-107.6,-78.4,-256
128,-202,-41.4,-318
128,77.8,85.6,-31
128,342,150.6,200
129,142,-37.2,105
129,-282,-222,-110.2
129,-348,-50.2,-126.4
129,-24.8,252,-7.2
129,202,184.6,26.2
129,100.8,-153.4,25.4
129,-24.8,-284,86.8
130,112.2,-85.6,147.2
130,316,204,148
130,206,318,50.8
